Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789863228,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789863229,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789863230,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789863231,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789863232,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789863234,50,POST,/auth/signup,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,22,21,2100,2931.7133590917697,1326.4429999981076,5610.679599980358,32.72727272727273
1789863234,50,,Aggregated,0.000000,0.000000,2100,2100,5200,5200,5300,5600,5600,5600,5600,5600,5600,22,21,2100,2931.7133590917697,1326.4429999981076,5610.679599980358,32.72727272727273
1789863235,50,POST,/auth/signup,0.000000,0.000000,1500,1500,5600,5600,6600,6600,6600,6600,6600,6600,6600,29,28,2000,2931.8914000017185,1326.4429999981076,6571.918600006029,32.793103448275865
1789863235,50,,Aggregated,0.000000,0.000000,2000,2100,5200,5300,5600,6600,6600,6600,6600,6600,6600,29,28,2000,2931.8914000017185,1326.4429999981076,6571.918600006029,32.793103448275865
1789863236,50,POST,/auth/signup,0.000000,0.000000,1500,1500,5600,6600,6600,7400,7400,7400,7400,7400,7400,30,29,2100,3079.3712033346915,1326.4429999981076,7356.285499990918,32.8
